confirmed,countryregion,deaths,latitude,longitude,provincestate,recovered,timestamp
18,US,0,47.5289,-99.784,North Dakota,0,1584661384
30,US,0,39.3185,-75.5071,Delaware,0,1584661384
31,US,1,38.4561,-92.2884,Missouri,0,1584661384
37,US,2,37.6681,-84.6701,Kentucky,0,1584661384
44,US,0,41.6809,-71.5118,Rhode Island,0,1584661384
44,US,1,35.5653,-96.9289,Oklahoma,0,1584661384
44,US,0,43.4525,-71.5639,New Hampshire,0,1584661384
44,US,0,42.0115,-93.2105,Iowa,0,1584661384
45,US,0,33.7298,-111.4312,Arizona,0,1584661384
50,US,1,32.7416,-89.6787,Mississippi,0,1584661384
60,US,2,39.8494,-86.2583,Indiana,0,1584661384
78,US,0,32.3182,-86.9023,Alabama,0,1584661384
80,US,0,40.15,-111.8624,Utah,0,1584661384
81,US,1,33.8569,-80.945,South Carolina,0,1584661384
99,US,2,37.7693,-78.17,Virginia,0,1584661384
123,US,0,35.6301,-79.8064,North Carolina,0,1584661384
159,US,0,44.2685,-89.6165,Wisconsin,0,1584661384
159,US,2,41.5978,-72.7554,Connecticut,0,1584661384
277,US,4,39.0598,-105.3111,Colorado,0,1584661384
334,US,3,43.3266,-84.5361,Michigan,0,1584661384
392,US,10,31.1695,-91.8678,Louisiana,0,1584661384
417,US,9,27.7663,-81.6868,Florida,0,1584661384
742,US,9,40.2989,-74.521,New Jersey,0,1584661384
1376,US,74,47.4009,-121.4905,Washington,0,1584661384
1,US,0,40.7128,-74.006,"New York City, NY",0,1583113983
1,China,0,31.6927,88.0924,Tibet,1,1583893094
22,US,0,44.0459,-72.7107,Vermont,0,1584654183
34,US,1,38.5266,-96.7265,Kansas,0,1584654183
35,US,0,34.8405,-106.2485,New Mexico,0,1584654183
62,US,0,34.9697,-92.3731,Arkansas,0,1584654183
88,US,3,44.572,-122.0709,Oregon,0,1584654183
95,US,1,38.3135,-117.0554,Nevada,0,1584654183
107,US,1,39.0639,-76.8021,Maryland,0,1584654183
119,US,0,40.3888,-82.7649,Ohio,0,1584654183
154,US,0,35.7478,-86.6923,Tennessee,0,1584652420
422,US,4,40.3495,-88.9861,Illinois,0,1584652420
952,US,18,36.1162,-119.6816,California,0,1584652420
206,US,1,40.5908,-77.2098,Pennsylvania,0,1584652415
260,US,5,31.0545,-97.5635,Texas,0,1584652415
287,US,10,33.0406,-83.6431,Georgia,0,1584652415
328,US,0,42.2302,-71.5301,Massachusetts,0,1584652415
4075,Switzerland,41,46.8182,8.2275,,15,1584652395
5,Barbados,0,13.1939,-59.5432,,0,1584650583
6,Equatorial Guinea,0,1.6508,10.2679,,0,1584650583
14,Canada,0,44.682,-63.7443,Nova Scotia,0,1584650583
63,Morocco,2,31.7917,-7.0926,,1,1584650582
194,India,4,20.5937,78.9629,,15,1584650582
256,Egypt,6,26.8206,30.8025,,32,1584650582
274,Saudi Arabia,0,23.8859,45.0792,,6,1584650582
621,Brazil,6,-14.235,-51.9253,,2,1584650582
677,Israel,0,31.0461,34.8516,,11,1584650582
10871,France,243,46.2276,2.2137,France,12,1584650582
3,United Kingdom,1,19.3133,-81.2546,Cayman Islands,0,1584648836
3,Congo (Brazzaville),0,-0.228,15.8277,,0,1584648836
11,United Kingdom,0,49.3723,-2.3644,Channel Islands,0,1584648836
3,Namibia,0,-22.9576,18.4904,,0,1584648832
10,United Kingdom,0,36.1408,-5.3536,Gibraltar,2,1584648832
42,Venezuela,0,6.4238,-66.5897,,0,1584648814
48,Oman,0,21.4735,55.9754,,12,1584648814
85,Vietnam,0,14.0583,108.2772,,16,1584648814
192,Iraq,13,33.2232,43.6793,,43,1584648814
355,Poland,5,51.9194,19.1451,,1,1584648808
454,Pakistan,2,30.3753,69.3451,,13,1584648788
460,Qatar,0,25.3548,51.1839,,4,1584648788
15320,Germany,44,51.1657,10.4515,,113,1584648788
17963,Spain,830,40.4637,-3.7492,,1107,1584648788
1,US,0,37.0902,-95.7129,US,108,1584645198
22,US,0,37.6489,-122.6655,Grand Princess,0,1584645198
2,Canada,0,46.5107,-63.4168,Prince Edward Island,0,1584643383
52,US,0,44.6939,-69.3819,Maine,0,1584643383
89,US,0,45.6945,-93.9002,Minnesota,0,1584643383
157,Lebanon,4,33.8547,35.8623,,4,1584643383
557,Ireland,3,53.1424,-7.6921,,5,1584643383
36,Lithuania,0,55.1694,23.8813,,1,1584641609
39,Tunisia,1,33.8869,9.5375,,0,1584641609
67,Cyprus,0,35.1264,33.4299,,0,1584641609
69,Jordan,0,30.5852,36.2384,,1,1584641609
103,Serbia,0,44.0165,21.0059,,1,1584641609
234,Peru,0,-9.19,-75.0152,,1,1584641609
278,Bahrain,1,26.0667,50.5577,,100,1584641609
694,Czechia,0,49.8175,15.473,,3,1584641600
121,Canada,1,52.9399,-73.5491,Quebec,0,1584639784
41035,Italy,3405,41.8719,12.5674,,4440,1584639783
1151,Denmark,6,56.2639,9.5018,Denmark,1,1584638022
2689,United Kingdom,137,55.3781,-3.436,United Kingdom,65,1584638007
9,Guatemala,1,15.7835,-90.2308,,0,1584638004
11,Ghana,0,7.9465,-1.0232,,0,1584638004
63,Bosnia and Herzegovina,0,43.9159,17.6791,,2,1584638004
199,Ecuador,3,-1.8312,-78.1834,,0,1584637994
1746,Norway,7,60.472,8.4689,,1,1584637994
257,Canada,1,51.2538,-85.3232,Ontario,5,1584636184
1,Chad,0,15.4542,18.7322,,0,1584636183
48,North Macedonia,0,41.6086,21.7453,,1,1584636183
49,Moldova,1,47.4116,28.3699,,1,1584636183
105,Croatia,1,45.1,15.2,,5,1584636183
150,South Africa,0,-30.5595,22.9375,,0,1584636183
192,Turkey,3,38.9637,35.2433,,0,1584636183
3,US,0,18.3358,-64.8963,Virgin Islands,0,1584634418
12,US,0,13.4443,144.7937,Guam,0,1584634418
44,Azerbaijan,1,40.1431,47.5769,,6,1584634416
60,Sri Lanka,0,7.8731,80.7718,,3,1584634416
87,Algeria,9,28.0339,1.6596,,32,1584634416
123,Slovakia,1,48.669,19.699,,0,1584634416
140,United Arab Emirates,0,23.4241,53.8478,,31,1584634416
199,Russia,1,61.524,105.3188,,9,1584634416
345,Singapore,0,1.3521,103.8198,,114,1584634416
400,Finland,0,61.9241,25.7482,,10,1584634416
785,Portugal,3,39.3999,-8.2245,,3,1584630807
1439,Sweden,11,60.1282,18.6435,,16,1584630807
1,Fiji,0,-17.7134,178.065,,0,1584629586
1,El Salvador,0,13.7942,-88.8965,,0,1584629586
1,Djibouti,0,11.8251,42.5903,,0,1584629586
2460,Netherlands,76,52.1326,5.2913,Netherlands,2,1584629586
2013,Austria,6,47.5162,14.5501,,9,1584629585
18,China,0,35.7452,95.9956,Qinghai,18,1583893094
0,The Bahamas,0,24.25,-76,,0,1584620018
