confirmed,countryregion,deaths,latitude,longitude,provincestate,recovered,timestamp
18.0,US,0.0,47.5289,-99.78399999999999,North Dakota,0.0,1584661384
30.0,US,0.0,39.3185,-75.5071,Delaware,0.0,1584661384
31.0,US,1.0,38.4561,-92.2884,Missouri,0.0,1584661384
37.0,US,2.0,37.6681,-84.6701,Kentucky,0.0,1584661384
44.0,US,0.0,41.6809,-71.5118,Rhode Island,0.0,1584661384
44.0,US,1.0,35.5653,-96.9289,Oklahoma,0.0,1584661384
44.0,US,0.0,43.4525,-71.5639,New Hampshire,0.0,1584661384
44.0,US,0.0,42.0115,-93.2105,Iowa,0.0,1584661384
45.0,US,0.0,33.7298,-111.4312,Arizona,0.0,1584661384
50.0,US,1.0,32.7416,-89.6787,Mississippi,0.0,1584661384
60.0,US,2.0,39.8494,-86.2583,Indiana,0.0,1584661384
78.0,US,0.0,32.3182,-86.9023,Alabama,0.0,1584661384
80.0,US,0.0,40.15,-111.8624,Utah,0.0,1584661384
81.0,US,1.0,33.8569,-80.945,South Carolina,0.0,1584661384
99.0,US,2.0,37.7693,-78.17,Virginia,0.0,1584661384
123.0,US,0.0,35.6301,-79.8064,North Carolina,0.0,1584661384
159.0,US,0.0,44.2685,-89.6165,Wisconsin,0.0,1584661384
159.0,US,2.0,41.5978,-72.7554,Connecticut,0.0,1584661384
277.0,US,4.0,39.0598,-105.3111,Colorado,0.0,1584661384
334.0,US,3.0,43.3266,-84.5361,Michigan,0.0,1584661384
392.0,US,10.0,31.1695,-91.8678,Louisiana,0.0,1584661384
417.0,US,9.0,27.7663,-81.6868,Florida,0.0,1584661384
742.0,US,9.0,40.2989,-74.521,New Jersey,0.0,1584661384
1376.0,US,74.0,47.4009,-121.4905,Washington,0.0,1584661384
1.0,US,0.0,40.7128,-74.006,"New York City, NY",0.0,1583113983
1.0,China,0.0,31.6927,88.0924,Tibet,1.0,1583893094
22.0,US,0.0,44.0459,-72.7107,Vermont,0.0,1584654183
34.0,US,1.0,38.5266,-96.7265,Kansas,0.0,1584654183
35.0,US,0.0,34.8405,-106.2485,New Mexico,0.0,1584654183
62.0,US,0.0,34.9697,-92.3731,Arkansas,0.0,1584654183
88.0,US,3.0,44.571999999999996,-122.0709,Oregon,0.0,1584654183
95.0,US,1.0,38.3135,-117.0554,Nevada,0.0,1584654183
107.0,US,1.0,39.0639,-76.8021,Maryland,0.0,1584654183
119.0,US,0.0,40.3888,-82.7649,Ohio,0.0,1584654183
154.0,US,0.0,35.7478,-86.6923,Tennessee,0.0,1584652420
422.0,US,4.0,40.3495,-88.9861,Illinois,0.0,1584652420
952.0,US,18.0,36.1162,-119.6816,California,0.0,1584652420
206.0,US,1.0,40.5908,-77.2098,Pennsylvania,0.0,1584652415
260.0,US,5.0,31.0545,-97.5635,Texas,0.0,1584652415
